composition_id,experiment_id,humidity,temperature,weighted_BalabanJ,weighted_ExactMolWt,weighted_FractionCSP3,weighted_HeavyAtomCount,weighted_LabuteASA,weighted_MolLogP,weighted_NOCount,weighted_NumAromaticRings,weighted_NumHAcceptors,weighted_NumHDonors,weighted_NumRotatableBonds,weighted_TPSA,wvp
1291,264,100.0,23.0,0.0042667831346488915,18.286987905825477,0.0015437557933753706,1.0183370926361959,6.952182553121131,-0.8280386670558657,1.0085388836621552,0.0,0.009713052024596412,0.006980871719453084,0.0023676903105062973,31.628880136450427,1.55
1292,264,100.0,23.0,0.0027236662135518147,18.17148455449301,0.0009621851423274156,1.0110466318397364,6.911392596412121,-0.826734757002336,1.0047184066568102,0.0,0.005773110853964494,0.004163292327848204,0.00160981852611629,31.57021094291712,1.26
1293,264,100.0,23.0,0.004663794393355866,18.28363653088295,0.0016961941698853448,1.0186806505708894,6.954263903413277,-0.8282502902959263,1.0081560782141759,0.0,0.009884731202804007,0.007529389023706596,0.0019909189829206376,31.622916818888925,1.73
1294,265,75.0,25.0,0.0030180570244346247,18.348147869953994,0.0012079586207064778,1.0229685185492536,6.978720690194609,-0.8296096571349485,1.0104402357042064,0.0,0.011671980501132504,0.008727631016376372,0.005513256516500822,31.67294587237913,2.19
1295,265,75.0,25.0,0.0036825097684666493,18.345791499762047,0.0013068970366508252,1.022808563365261,6.977828976811624,-0.8296262346631281,1.0103675288023914,0.0,0.011727540918826055,0.008940541514304227,0.005726579822103377,31.672766117296014,2.31
1296,265,75.0,25.0,0.00434679186905264,18.343435734728455,0.0014058100434259067,1.022648649260644,6.976937492436714,-0.8296428079338994,1.0102948405730199,0.0,0.01178308706760248,0.009153397332977025,0.005939848342434422,31.672586408377242,2.33
1297,265,75.0,25.0,0.0050109033919206285,18.341080574620122,0.0015046976508187658,1.0224887762195796,6.976046236981673,-0.8296593769489027,1.0102221710088997,0.0,0.011838618952957847,0.009366198493455992,0.006153062098596016,31.672406745605034,2.81
1298,265,75.0,25.0,0.005674844402764894,18.338726019204085,0.0016035598686114194,1.022328944226253,6.975155210358335,-0.8296759417097767,1.0101495201028423,0.0,0.0118941365803854,0.009578945016791537,0.006366221111679382,31.672227128961627,2.22
1299,265,75.0,25.0,0.006338614967245986,18.336372068247478,0.0017023967065808612,1.022169153264858,6.974264412478582,-0.8296925022181593,1.0100768878476627,0.0,0.011949639955375565,0.009791636924023257,0.006579325402764911,31.67204755842924,1.92
1300,265,75.0,25.0,0.007002215150990745,18.33401872151757,0.0018012081744990668,1.0220094033195959,6.973373843254342,-0.8297090584756882,1.0100042742361799,0.0,0.012005129083415948,0.010004274236179956,0.00679237499292218,31.671868033990133,1.81
1301,266,,25.0,0.0054720907523823385,18.280379244312353,0.001784638610436225,1.0183563488060385,6.951310781426005,-0.8281338230742784,1.0087876187017297,0.0,0.009568730104308809,0.008364497454880198,0.0027664554545867104,31.638346764553958,19.3
1302,266,,25.0,0.005534715745185332,18.28291938798558,0.0017923455949802607,1.018532159032129,6.9522717427444,-0.828141050754609,1.0088722934712906,1.9843592167210663e-06,0.00963192143146043,0.008424942912549287,0.002828671470187269,31.639741973805016,17.49
1303,266,,25.0,0.007433846348208144,18.391430245843107,0.0027863415403304283,1.0259668500056167,6.996910936584394,-0.8302330950088082,1.0115902542326431,0.0,0.014376595772973563,0.012370738722312804,0.003566826030000097,31.692618258732903,12.26
1304,266,,25.0,0.007496391049018674,18.39396665088501,0.002794027005366727,1.026142402628791,6.997870428609592,-0.8302402847527478,1.0116748181413602,1.9827666124366217e-06,0.014439662785413665,0.01243107434029545,0.0036289798603012335,31.694011517431992,11.55
1305,266,,25.0,0.006453362330118235,18.33592703615406,0.0022856911454877094,1.0221631270486295,6.97412001224583,-0.8291838804247842,1.010189499035391,0.0,0.01197362801323866,0.010368422254508156,0.003166801399300926,31.665493405467014,16.59
1306,266,,25.0,0.006515947154777977,18.338465309419817,0.0022933873628791564,1.0223388083981602,6.975080238482528,-0.8291910891228513,1.010274118343662,1.9835625949030235e-06,0.012036757143302153,0.010428812757971334,0.0032289863073092953,31.66688763888373,16.46
1309,268,50.0,25.0,0.007502492625984543,18.497305834519036,0.0026751225882906955,1.0330405577961115,7.035127893028553,-0.8311320152465052,1.0150291734740104,0.0,0.017063839175177613,0.01389484320509014,0.009133417666268486,31.738418997558952,6.7
1310,268,50.0,25.0,0.007508888840588194,18.49843799822078,0.0026757895018083085,1.033123662665937,7.035595792873094,-0.8311229029606937,1.015050484708542,8.24726796068543e-06,0.017088523307137317,0.013915414413560126,0.009138254291201572,31.738766895589972,6.5
1312,270,100.0,25.0,0.024721418787395488,19.346865556556104,0.007682074987104442,1.0948093916104138,7.4286156362403375,-0.8029024217330316,1.0131521343976464,0.0,0.01780822863907191,0.01780822863907191,0.06396024670140445,31.65818307721302,2.52
1314,270,100.0,25.0,0.028439562689292472,19.31681245365012,0.010584176536132207,1.08854821167398,7.350909220970385,-0.8428500161781276,1.0389820175689237,0.0,0.0495661941050561,0.04362830593950294,0.015230464906711256,32.10400577603603,2.48
1315,270,100.0,25.0,0.02815724856748216,19.49927243883006,0.008203124782284476,1.1058807901365661,7.490333845108753,-0.8037320461016534,1.0167690397668974,0.0010149573030021838,0.023067171702407446,0.02131929107633426,0.06212995669220712,31.699768162869248,2.2
